sample-id	community-number	community-name	chem-code	Amoxicillin	Chlorothalonil	Diflufenican	Glyphosate	Imidacloprid	Metaldehyde	Oxytetracycline	Tebuconazole	complexity	well	plate
c04w000	4	R_ID_7.16_4_R10(1)_TSS	Frozen Starting Community	NA	NA	NA	NA	NA	NA	NA	NA	NA	00	0
c04w1C3	4	R_ID_7.16_4_R10(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	1
c04w1D4	4	R_ID_7.16_4_R10(1)_TSS	AT	1	0	0	0	0	0	0	1	2	D4	1
c04w1D6	4	R_ID_7.16_4_R10(1)_TSS	GI	0	0	0	1	1	0	0	0	2	D6	1
c04w1E2	4	R_ID_7.16_4_R10(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	1
c04w1G2	4	R_ID_7.16_4_R10(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	1
c04w11B2	4	R_ID_7.16_4_R10(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	11
c04w11F5	4	R_ID_7.16_4_R10(1)_TSS	DI	0	0	1	0	1	0	0	0	2	F5	11
c04w12F7	4	R_ID_7.16_4_R10(1)_TSS	ACDM	1	1	1	0	0	1	0	0	4	F7	12
c04w15C11	4	R_ID_7.16_4_R10(1)_TSS		0	0	0	0	0	0	0	0	0	C11	15
c04w16B3	4	R_ID_7.16_4_R10(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	16
c04w16B5	4	R_ID_7.16_4_R10(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	16
c04w16C2	4	R_ID_7.16_4_R10(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	16
c04w16D4	4	R_ID_7.16_4_R10(1)_TSS	AT	1	0	0	0	0	0	0	1	2	D4	16
c04w16E6	4	R_ID_7.16_4_R10(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	16
c04w16F2	4	R_ID_7.16_4_R10(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	16
c04w17G10	4	R_ID_7.16_4_R10(1)_TSS	ADIT	1	0	1	0	1	0	0	1	4	G10	17
c04w2G10	4	R_ID_7.16_4_R10(1)_TSS	ADIT	1	0	1	0	1	0	0	1	4	G10	2
c04w6E2	4	R_ID_7.16_4_R10(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	6
c04w6E3	4	R_ID_7.16_4_R10(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	6
c04w7F7	4	R_ID_7.16_4_R10(1)_TSS	ACDM	1	1	1	0	0	1	0	0	4	F7	7
c04w8D5	4	R_ID_7.16_4_R10(1)_TSS	CGMO	0	1	0	1	0	1	1	0	4	D5	8
c04w1B3	4	R_ID_7.16_4_R10(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	1
c04w1C2	4	R_ID_7.16_4_R10(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	1
c04w1D2	4	R_ID_7.16_4_R10(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	1
c04w1F2	4	R_ID_7.16_4_R10(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	1
c04w1F5	4	R_ID_7.16_4_R10(1)_TSS	DI	0	0	1	0	1	0	0	0	2	F5	1
c04w10D4	4	R_ID_7.16_4_R10(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	10
c04w10E9	4	R_ID_7.16_4_R10(1)_TSS		0	0	0	0	0	0	0	0	0	E9	10
c04w11C3	4	R_ID_7.16_4_R10(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	11
c04w11C5	4	R_ID_7.16_4_R10(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	11
c04w11E6	4	R_ID_7.16_4_R10(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	11
c04w11G7	4	R_ID_7.16_4_R10(1)_TSS	OT	0	0	0	0	0	0	1	1	2	G7	11
c04w13D5	4	R_ID_7.16_4_R10(1)_TSS	CGMO	0	1	0	1	0	1	1	0	4	D5	13
c04w16C5	4	R_ID_7.16_4_R10(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	16
c04w16E3	4	R_ID_7.16_4_R10(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	16
c04w16G2	4	R_ID_7.16_4_R10(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	16
c04w16G7	4	R_ID_7.16_4_R10(1)_TSS	OT	0	0	0	0	0	0	1	1	2	G7	16
c04w18E8	4	R_ID_7.16_4_R10(1)_TSS	GIOT	0	0	0	1	1	0	1	1	4	E8	18
c04w3E8	4	R_ID_7.16_4_R10(1)_TSS	GIOT	0	0	0	1	1	0	1	1	4	E8	3
c04w6B2	4	R_ID_7.16_4_R10(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	6
c04w6B5	4	R_ID_7.16_4_R10(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	6
c04w6D2	4	R_ID_7.16_4_R10(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	6
c04w6D6	4	R_ID_7.16_4_R10(1)_TSS	GI	0	0	0	1	1	0	0	0	2	D6	6
c06w000	6	R_ID_7.16_6_R5(1)_TSS	Frozen Starting Community	NA	NA	NA	NA	NA	NA	NA	NA	NA	00	0
c06w1G3	6	R_ID_7.16_6_R5(1)_TSS	AI	1	0	0	0	1	0	0	0	2	G3	1
c06w10D4	6	R_ID_7.16_6_R5(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	10
c06w11B6	6	R_ID_7.16_6_R5(1)_TSS	DO	0	0	1	0	0	0	1	0	2	B6	11
c06w11D5	6	R_ID_7.16_6_R5(1)_TSS	CT	0	1	0	0	0	0	0	1	2	D5	11
c06w12D9	6	R_ID_7.16_6_R5(1)_TSS	ACMO	1	1	0	0	0	1	1	0	4	D9	12
c06w13F4	6	R_ID_7.16_6_R5(1)_TSS	CDOT	0	1	1	0	0	0	1	1	4	F4	13
