"","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity","ChemCode"
"1",1,0,0,1,0,1,0,0,"B10",1,3,"AGM"
"2",1,0,0,0,0,1,1,0,"B11",1,3,"AMO"
"3",1,0,0,0,0,0,0,0,"B2",1,1,"A"
"4",0,0,0,0,0,0,1,0,"B3",1,1,"O"
"5",1,0,0,0,0,1,0,0,"B4",1,2,"AM"
"6",0,1,0,0,0,1,0,0,"B5",1,2,"CM"
"7",0,0,1,0,0,0,1,0,"B6",1,2,"DO"
"8",0,0,0,0,1,1,0,0,"B7",1,2,"IM"
"9",1,1,1,0,0,0,0,0,"B8",1,3,"ACD"
"10",1,0,1,1,0,0,0,0,"B9",1,3,"ADG"
"11",1,0,0,1,0,0,1,0,"C10",1,3,"AGO"
"12",1,0,0,0,0,1,0,1,"C11",1,3,"AMT"
"13",0,1,0,0,0,0,0,0,"C2",1,1,"C"
"14",0,0,0,0,0,0,0,1,"C3",1,1,"T"
"15",1,0,0,0,0,0,1,0,"C4",1,2,"AO"
"16",0,1,0,0,0,0,1,0,"C5",1,2,"CO"
"17",0,0,1,0,0,0,0,1,"C6",1,2,"DT"
"18",0,0,0,0,1,0,1,0,"C7",1,2,"IO"
"19",1,1,0,1,0,0,0,0,"C8",1,3,"ACG"
"20",1,0,1,0,1,0,0,0,"C9",1,3,"ADI"
"21",1,0,0,1,0,0,0,1,"D10",1,3,"AGT"
"22",1,0,0,0,0,0,1,1,"D11",1,3,"AOT"
"23",0,0,1,0,0,0,0,0,"D2",1,1,"D"
"24",1,1,0,0,0,0,0,0,"D3",1,2,"AC"
"25",1,0,0,0,0,0,0,1,"D4",1,2,"AT"
"26",0,1,0,0,0,0,0,1,"D5",1,2,"CT"
"27",0,0,0,1,1,0,0,0,"D6",1,2,"GI"
"28",0,0,0,0,1,0,0,1,"D7",1,2,"IT"
"29",1,1,0,0,1,0,0,0,"D8",1,3,"ACI"
"30",1,0,1,0,0,1,0,0,"D9",1,3,"ADM"
"31",1,0,0,0,1,1,0,0,"E10",1,3,"AIM"
"32",0,1,1,1,0,0,0,0,"E11",1,3,"CDG"
"33",0,0,0,1,0,0,0,0,"E2",1,1,"G"
"34",1,0,1,0,0,0,0,0,"E3",1,2,"AD"
"35",0,1,1,0,0,0,0,0,"E4",1,2,"CD"
"36",0,0,1,1,0,0,0,0,"E5",1,2,"DG"
"37",0,0,0,1,0,1,0,0,"E6",1,2,"GM"
"38",0,0,0,0,0,1,1,0,"E7",1,2,"MO"
"39",1,1,0,0,0,1,0,0,"E8",1,3,"ACM"
"40",1,0,1,0,0,0,1,0,"E9",1,3,"ADO"
"41",1,0,0,0,1,0,1,0,"F10",1,3,"AIO"
"42",0,1,1,0,1,0,0,0,"F11",1,3,"CDI"
"43",0,0,0,0,1,0,0,0,"F2",1,1,"I"
"44",1,0,0,1,0,0,0,0,"F3",1,2,"AG"
"45",0,1,0,1,0,0,0,0,"F4",1,2,"CG"
"46",0,0,1,0,1,0,0,0,"F5",1,2,"DI"
"47",0,0,0,1,0,0,1,0,"F6",1,2,"GO"
"48",0,0,0,0,0,1,0,1,"F7",1,2,"MT"
"49",1,1,0,0,0,0,1,0,"F8",1,3,"ACO"
"50",1,0,1,0,0,0,0,1,"F9",1,3,"ADT"
"51",1,0,0,0,1,0,0,1,"G10",1,3,"AIT"
"52",0,1,1,0,0,1,0,0,"G11",1,3,"CDM"
"53",0,0,0,0,0,1,0,0,"G2",1,1,"M"
"54",1,0,0,0,1,0,0,0,"G3",1,2,"AI"
"55",0,1,0,0,1,0,0,0,"G4",1,2,"CI"
"56",0,0,1,0,0,1,0,0,"G5",1,2,"DM"
"57",0,0,0,1,0,0,0,1,"G6",1,2,"GT"
"58",0,0,0,0,0,0,1,1,"G7",1,2,"OT"
"59",1,1,0,0,0,0,0,1,"G8",1,3,"ACT"
"60",1,0,0,1,1,0,0,0,"G9",1,3,"AGI"
"61",1,0,1,1,0,1,0,0,"B10",2,4,"ADGM"
"62",1,0,1,0,0,1,1,0,"B11",2,4,"ADMO"
"63",0,1,1,0,0,0,1,0,"B2",2,3,"CDO"
"64",0,1,0,0,1,1,0,0,"B3",2,3,"CIM"
"65",0,0,1,1,1,0,0,0,"B4",2,3,"DGI"
"66",0,0,1,0,1,0,0,1,"B5",2,3,"DIT"
"67",0,0,0,1,1,0,0,1,"B6",2,3,"GIT"
"68",0,0,0,0,1,0,1,1,"B7",2,3,"IOT"
"69",1,1,1,0,0,0,0,1,"B8",2,4,"ACDT"
"70",1,1,0,0,1,0,1,0,"B9",2,4,"ACIO"
"71",1,0,1,1,0,0,1,0,"C10",2,4,"ADGO"
"72",1,0,1,0,0,1,0,1,"C11",2,4,"ADMT"
"73",0,1,1,0,0,0,0,1,"C2",2,3,"CDT"
"74",0,1,0,0,1,0,1,0,"C3",2,3,"CIO"
"75",0,0,1,1,0,1,0,0,"C4",2,3,"DGM"
"76",0,0,1,0,0,1,1,0,"C5",2,3,"DMO"
"77",0,0,0,1,0,1,1,0,"C6",2,3,"GMO"
"78",0,0,0,0,0,1,1,1,"C7",2,3,"MOT"
"79",1,1,0,1,1,0,0,0,"C8",2,4,"ACGI"
"80",1,1,0,0,1,0,0,1,"C9",2,4,"ACIT"
