Community.number,Community.name,ChemCode,Amoxicillin,Chlorothalonil,Diflufenican,Glyphosate,Imidacloprid,Metaldehyde,Oxytetracycline,Tebuconazole,Well,Plate,Complexity,Plate.sample,Well.sample,Pyramid,PCR.plate,PCR.well.coord
1,R_ID_7.16_1_R10(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,A1
1,R_ID_7.16_1_R10(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,1,1 B2,1,1,A2
1,R_ID_7.16_1_R10(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,1,1 B3,1,1,A3
1,R_ID_7.16_1_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,1,1 B5,1,1,A4
1,R_ID_7.16_1_R10(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,1,1 C7,1,1,A5
1,R_ID_7.16_1_R10(1)_TSS,IT,0,0,0,0,1,0,0,1,D7,1,2,1,1 D7,2,1,A6
1,R_ID_7.16_1_R10(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,1,A7
1,R_ID_7.16_1_R10(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,1,1 E3,1,1,A8
1,R_ID_7.16_1_R10(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,1,A9
1,R_ID_7.16_1_R10(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,1,1 G6,1,1,A10
1,R_ID_7.16_1_R10(1)_TSS,,0,0,0,0,0,0,0,0,F4,5,0,10,10 F4,NA,1,A11
1,R_ID_7.16_1_R10(1)_TSS,AM,1,0,0,0,0,1,0,0,B4,1,2,11,11 B4,2,1,A12
1,R_ID_7.16_1_R10(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,11,11 B5,1,1,B1
1,R_ID_7.16_1_R10(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,11,11 C2,1,1,B2
1,R_ID_7.16_1_R10(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,11,11 C3,1,1,B3
1,R_ID_7.16_1_R10(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,11,11 C7,1,1,B4
